Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
Folic Acid 5 mg Tablet,-,Blood and Blood Forming Organs > Antianemic Preparations,B03BB01000T1001XX,Yes,APPL,C+,i) For the prevention and treatment of folate deficiency states ii) For the prevention of neural tube defect in the foetus,6-12 years: 5mg/day ii) 5 mg daily starting before pregnancy and continued through the first trimester,i) ADULT initially 10-20mg mg daily for 14 days or until haematopoietic response obtained. Daily maintenance: 2.5 mg-10mg .CHILD up to 1 year:250 mcg/kg daily; 1 to 5 years:2.5mg/day;6-12 years: 5mg/day ii) 5 mg daily starting before pregnancy and continued through the first trimester,"GI disturbances, hypersensitivity reactions; bronchospasm.","Undiagnosed megaloblastic anaemia; pernicious, aplastic or normocytic anaemias.","Antiepileptics, oral contraceptives, anti-TB drugs, alcohol, aminopterin, methotrexate, pyrimethamine, trimethoprim and sulphonamides may result to decrease in serum folate contrations. Decreases serum phenytoin concentrations.","Treatment resistance may occur in patients with depressed haematopoiesis, alcoholism, deficiencies of other vitamins. Large doses of folic acid may lower the blood concentration of vitamin B12.Folate dependent tumours, those with phenytoin,neonates.Should not be given until the diagnosis of pernicious anaemia has been ruled out.",False
Frusemide 10mg/ml Injection,Pharmaniaga Furosemide 20mg/2ml Injection,Cardiovascular System > Diuretics,C03CA01-000-P30-01-XXX,Yes,APPL,B,Oedema,None,Initial: 20-50mg once via slow IV or IM Maintenance: Increase by 20mg every 2 hours and titrate to an effective dose if necessary. CHILD: 0.5 - 1.5 mg/kg 6-24hourly. Dosing is individualised and according to product insert / protocol.,"Hypokalaemia, hyperuricaemia, hypotension, hyperglycaemia, hyponatremia","Anuria, hypersensitivity to furosemide, hepatic coma and pre-coma. Severe hypokalaemia, severe hyponatraemia, hypovolaemia with or without concomitant hypotension","Activated charcoal, amikacin, gentamicin, kanamycin, angiotensin converting enzyme inhibitors, aspirin, chloral hydrate, digoxin steroids, NSAIDs","Alterations in blood glucose and glucose tolerance tests. Diabetes mellitus, electrolyte imbalance (eg: hypokalaemia, hyponatraemia), fluid imbalance, dehydration, blood volume reduction with circulatory collapse and possible vascular thrombosis and emboli may occur with excessive diuresis, especially in elderly patients. Gout or hyperuricaemia. Hepatic disease (cirrhosis and ascites). Hypersensitivity to sulfonamides. Ototoxicity (hearing loss, tinnitus), avoid rapid injection, high doses or concurrent administration of other ototoxic agents. If high-dose therapy is used, controlled intravenous infusion is recommended at a rate not to exceed 4 mg/min. Severe progressive renal disease (azotemia, oliguria). Systemic lupus erythematosus",False
Perindopril 4 mg Tablet,,Cardiovascular System > Agents Acting on the Renin-angiotensin System,C09AA04000T1001XX,Yes,APPL,B,i) Hypertension ii) Stable coronary artery disease iii) Heart failure,None,i) & ii) Initial: 4mg once daily Max. 8mg daily iii) Initial: 2mg once daily Maintenance: 4mg once daily Dosing is individualised and according to product insert / protocol.,"Gastrointestinal disorders, dizziness, headaches, mood and or sleep disorders, asthenia, taste disorder, cramps, localized skin rashes, dry cough, angioneurotic oedema","Angioedema induced by other angiotensin converting enzyme (ACE) inhibitors. Hypersensitivity to this or any other angiotensin converting enzyme inhibitor. Pregnancy (second and third trimesters particularly), lactation.",Potassium supplements or potassium-sparing diuretics may induce hyperkalaemia especially in renal failure. Neuroleptics or imipramine-like antidepressants increase risk of postural hypotension. Serum lithium concentrations may rise during lithium therapy,"Arterial hypotension, renal failure, water and sodium depletion, renovascular hypertension, surgery or anaesthesia, elderly. Haemodialysis, avoid combination with highly permeable membranes (polyacrylonitrile). Measure plasma creatinine at baseline and during the month following institution of treatment. May precipitate excessive hypotension in severe chronic heart failure with or without associated renal insufficiency. Patients with ischaemic heart disease or cerebrovascular disease in whom excessive fall in blood pressure may result in myocardial infarction or cerebrovascular accident, hepatic impairment",False
Phenobarbitone (Phenobarbital) 30mg Tablet,Luminal,Nervous System > Antiepileptics,N03AA02-000-T10-02-XX,Yes,APPL,B,Epilepsy,None,ADULT: 60 - 180 mg daily on. CHILD: Up to 8 mg/kg daily,"Hypersensitivity, rash, hypotension, drowsiness, ataxia, respiratory depression, dyskinesias","Hypersensitivity to phenobarbital products, porphyria","Alcohol, antibacterial, warfarin, antidepressants, other antiepileptics, antipsychotics, antiviral, cyclosporin","Depression, renal impairment, pulmonary insufficiency, elderly, avoid abrupt discontinuation, pregnancy, breast feeding, porphyria, hyperactivity in children",False
Aqueous Cream,-,Dermatologicals > Emollients and Protectives,D02AX00-000-G10-01-XXX,Yes,APPL,C+,As an emollient for dry skin. Can be used as soap substitute for bathing.,None,As a soap or apply to the skin as an emollient cream,Not known,Not known,Not known,It should not be used before phototherapy or in phototesting procedures,False
Phenytoin Sodium 100mg Capsule,Dilantin,Nervous System > Antiepileptics,N03AB02-520-C10-02-XX,Yes,APPL,B,Control of tonic-clonic (grand mal) and psychomotor seizures,None,ADULT Initial: 300mg daily in 3 equally divided doses Maintenance: 300-400 daily in 3-4 equally divided doses Max. dose: 600mg daily CHILD Initial: 5mg/kg/day in 2-3 equally divided doses Maintenance: 4-8mg/kg/day Max. dose: 300mg daily Dosing is according to product insert.,"Nystagmus, ataxia, lethargy, blood dyscrasias, cardiovascular toxicity, nausea, vomiting, headache, tremor, insomnia, gingival hypertrophy, acne, lupus erythematosus, Stevens-Johnson syndrome, leukopenia, megaloblastic anaemia, hirsutism, hepatitis. Slurred speech, decreased coordination, mental confusion, constipation, toxic hepatitis, liver damage, hematopoietic complications, dermatological manifestations, agranulocytosis, bullous dermatosis, granulocytopenic disorder, liver damage, nephrotoxicity, pancytopenia, purpuric rash, scaling eczema, thrombocytopenia, toxic epidermal necrolysis","Hypersensitivity to phenytoin or hydantoin products, sinus bradycardia, SA block, second and third degree AV block and Adams-Stokes syndrome (intravenous phenytoin only)","Various drugs may increase phenytoin serum levels either by decreasing its rate of metabolism by the hepatic CYP450 2C9 and 2C19 enzymatic system (eg.disulfiram, omeprazole, ticlopidine), by competing for the protein binding sites (eg. salicylates, sulfisoxazole, tolbutamine), or by a combination of both processes (eg. phenylbutazone, valproate sodium). Some drugs may decrease phenytoin serum levels (eg. ciprofloxacin, theophylline, sucralfate).","Avoid abrupt withdrawal, liver insufficiency, porphyria, discontinue if skin rash occurs, diabetes, elderly, pregnancy, breast feeding. Severe myocardial insufficiency. Potential for an increase in risk of suicidal thoughts or behaviours.",False
Atenolol 100 mg Tablet,Pharmaniaga Atenolol Tablet 100 mg,Cardiovascular System > Beta Blocking Agents,C07AB03-000-T10-02-XXX,Yes,APPL,B,i) Hypertension ii) Arrhythmias iii) Angina pectoris iii) Myocardial infarction,None,"i), ii) & iii) 50 - 100 mg daily iv) Dosing is individualised and according to product insert / protocol.","Chronic heart failure, AV block, bradycardia, bronchospasm, dizziness, vertigo, nausea, fatigue, diarrhoea","Hypersensitivity to atenolol products, bradycardia, 2nd and 3rd degree AV block overt cardiac failure, cardiogenic shock, metabolic acidosis, severe peripheral circulatory disturbances, sick sinus syndrome","Clonidine, catecholamine-depleting agents, beta-blockers","Avoid abrupt withdrawal; gradual withdrawal over a period of 1 to 2 weeks is recommended. Bronchospastic disease, congestive heart failure, diabetes mellitus, hyperthyroidism/thyrotoxicosis. Patients receiving clonidine - discontinue atenolol several days prior to withdrawal of clonidine. Peripheral vascular and renal disease",False
Povidone Iodine 10% (equivalent to 1% iodine) Solution,-,Dermatologicals > Antiseptics and Disinfectants,D08AG02000L9902XX,Yes,LP,B,"Skin operation prior to surgery, in cleansing open wounds, as an antiseptic for operative wounds infections",None,To be applied undiluted in pre-operative skin disinfection and general antisepsis.,"Rash, pruritus, local oedema",Hypersensitivity to iodine or any component of the formulation,Not known,"Highly toxic if ingested, sodium thiosulfate is the most effective chemical antidote, avoid contact with eyes, use with caution in infants and nursing women",False
Atropine Sulphate 1mg/ml Injection,-,Alimentary Tract and Metabolism > Drugs for Functional Gastrointestinal Disorders,A03BA01-183-P30-01-XXX,Yes,APPL,B,"i) Reduce vagal inhibition,salivary and bronchiol secretion in anaesthesia ii) Reversal of excessive bradycardia iii) Reversal of effect of competitive muscle relaxants iv) Overdosage with other compounds having muscarinic action v) Organophosphate poisoning",None,"i) Adult: 300-600 mcg IM/SC 30-60 minutes before anaesthesia. Alternatively, 300-600 mcg IV immediately before induction of anaesthesia. Child: >20 kg: 300-600 mcg; 12-16 kg: 300 mcg; 7-9 kg: 200 mcg; >3 kg: 100 mcg. Doses to be given via IM/SC admin 30-60 minutes before anaesthesia. ii) Adult: 500 mcg every 3-5 minutes. Total: 3 mg. Max Dosage: 0.04 mg/kg body weight. iii) Adult 0.6-1.2 mg before or with anticholinesterase iv) Adult: 0.6-1 mg IV/IM/SC, repeated every 2 hr. v) Adult: 2 mg IV/IM, every 10-30 minutes until muscarinic effects disappear or atropine toxicity appears. In severe cases, dose can be given as often as every 5 minutes. In moderate to severe poisoning, a state of atropinisation is maintained for at least 2 days and continued for as long as symptoms are present. Child: 20 mcg/kg given every 5-10 minutes.","Dry mouth, dysphagia, constipation, flushing and dryness of skin, tachycardia, palpitations, arrhythmias, mydriasis, photophobia, cycloplegia, raised intraocular pressure. Toxic doses cause tachycardia, hyperpyrexia, restlessness, confusion, excitement, hallucinations, delirium and may progress to circulatory failure and resp depression. Potentially Fatal: Atrial arrhythmias, AV dissociation, multiple ventricular ectopi.","Glaucoma, chronic respiratory disease, sick sinus syndrome, thyrotoxicosis, cardiac failure, pyloric stenosis, prostatic hypertrophy.","Additive anticholinergic effects with quinidine, antidepressants and some antihistamines.","Reflux oesophagitis, elderly, infants and children. Pregnancy.",False
Prochlorperazine Mesylate 12.5 mg/ml Injection,,Nervous System > Psycholeptics,N05AB04253P3001XX,No,APPL,B,i) Severe nausea and vomiting ii) Vertigo/labyrinthine disorders,None,"Deep IM injection, 12.5 mg repeated if necessary after 6 hours and then followed by an oral dose. Not recommended in children","Extrapyramidal symptoms, drowsiness, postural hypotension, coma, neuroleptic malignant syndrome, cholestatic jaundice, leucopenia and agranulocytosis, constipation, dry mouth, urinary retention, liver damage and insomnia","CNS depression or coma, bone marrow depression, phaeochromocytoma, hypersensitivity to phenothiazines, comatose states, cardiovascular collapse","Tramadol, increased risk of seizures. Procyclidine, decreased phenothiazine serum concentrations, decreased phenothiazine effectiveness, enhanced anticholinergic effects (ileus, hyperpyrexia, sedation, dry mouth). Levodopa, loss of levodopa efficacy. Ethanol, increased central nervous system depression and an increased risk of extrapyramidal reactions","Hypotension, pregnancy and lactation, glaucoma, prostatic hypertrophy, stenosing peptic ulcer, children with acute illnesses, dehydration or electrolyte imbalance, signs and symptoms suggestive of Reye's syndrome in children and adolescents, patients with tardive dyskinesia or a history of neuroleptic malignant syndrome, epilepsy, acute narrow angle glaucoma, liver damage, insomnia, renal dysfunction, parkinson's disease, myasthenia gravis. May lower convulsive threshold thus dosage adjustments of anticonvulsants may be neccessary.",False
Prochlorperazine Maleate 5mg Tablet,,Nervous System > Psycholeptics,N05AB04253T1002XX,No,APPL,B,i) Severe nausea and vomiting ii) Vertigo/labyrinthine disorders,None,"Nausea and vomiting Adult: As maleate or mesilate: 20 mg, further doses are given if needed. Recommended buccal dose: As maleate: 3-6 mg bid. Vertigo Adult: As maleate or mesilate: 15-30 mg daily, given in divided doses. May reduce gradually to 5-10 mg daily. Recommended buccal dose: 3-6 mg bid. May be taken with or without food.","Cholestatic jaundice, cardiac arrhythmias, orthostatic hypotension, leucopaenia, thrombocytopaenia, dry mouth, blurring of vision, glaucoma, urinary retention, constipation, galactorrhoea, gynaecomastia, amenorrhoea and impotence. Buccal: Transient numbness of gum and tongue. Potentially Fatal: Bone-marrow suppression. Cardiac arrhythmias or aspiration.","CNS depression, comatose patients. Bone marrow depression, phaechromocytoma, prolactin-dependent tumours, hypersensitivity. Childn <2 yr. Pregnancy and lactation.","Additive anticholinergic effects with antihistamines, tricyclic antidepressants and drugs used in parkinsonism. May reduce the antihypertensive effect of guanethidine and other adrenergic neurone blockers. May also increase risk of arrhythmias when used with drugs that prolong QT interval. Potentially Fatal: Potentiation of other CNS depressants including alcohol, sedatives, hypnotics, barbiturates, opioids, antihistamines and general anaesthetics.","Extrapyramidal syndrome, hypotension, epilepsy, impaired hepatic, renal, CV, cerebrovascular or respiratory function, glaucoma. May impair ability to drive or perform tasks requiring mental alertness or physical coordination. Parenteral use in children is not recommended. History of jaundice, parkinsonism, diabetes mellitus, hypothyroidism, myasthenia gravis, paralytic ileus, prostatic hyperplasia or urinary retention. Regular eye examinations are recommended in patients on long-term treatment.",False
